"east","north","evi.mean","evi.sd","annual.evi.sd","inter.evi.sd","nat.fres","Urban","Industrial","Quarry","ArtificialVeg","Arable","PermanentCrops","Pasture","HeteroAg","Forest","Scrub","OpenGround","InlandWet","MaritimeWet","InlandWater","Marine"
155000,105000,0.541723079,0.11129307,0.098918866,0.023642102,279.6,0.013,0,0.0059,0.003,0.2277,0,0.7391,0,0.0074,0.0039,0,0,0,0,0
155000,115000,0.565485107,0.122920447,0.090907672,0.023936717,267.4,0.0022,0,0.0036,0,0.0349,0,0.7189,0.0309,0.0427,0.1576,0,0.0095,0,0,0
155000,125000,0.611166858,0.090653675,0.087629001,0.024232162,248.6,0.0231,0.0042,0,0.0082,0.0023,0,0.9552,0,9e-04,0.0059,0,0,0,0,0
155000,135000,0.616751115,0.084160353,0.091209569,0.025221005,247.6,0.0029,0,0,0,0,0,0.9702,0.0179,0.0056,0.0036,0,0,0,0,0
155000,145000,0.598077532,0.090491969,0.096169734,0.020470484,246.2,0.0097,0,0,0.0057,0.0334,0,0.9146,0.0222,0,0.0119,0,0.0027,0,0,0
155000,155000,0.48759143,0.148648009,0.098121377,0.022669705,282.1,0.2135,0.0542,0.0155,0.0137,0.0026,0,0.6095,0.0013,0,0,0,0.0177,0.0106,0.0204,0.004
155000,165000,0.504694425,0.101258573,0.097234932,0.018320515,289.3,0.0129,0,0.0025,0.0045,0,0,0.5542,0.0833,0.1706,0.12,0,0.0471,0,0.0053,0
155000,175000,0.509461843,0.106247847,0.106902029,0.018086379,290.7,2e-04,0,0,0,0,0,0.6843,0.0635,0.0926,0.0594,0,0.0793,0,0.0207,0
155000,185000,0.511722755,0.099630634,0.101106522,0.017335089,299.6,0,0,0.0037,0.0063,0,0,0.6302,0.1286,0.0457,0.103,0,0.0757,0,0.007,0
155000,195000,0.432362227,0.106933944,0.094615032,0.011171895,324,0,0,0,0,0,0,0.2823,0.0882,0.213,0.2935,0,0.0857,0,0.0374,0
155000,205000,0.416449006,0.103947098,0.090253224,0.01353473,331.4,0,0,0,0,0,0,0.166,0.0531,0.2402,0.2897,0,0.2512,0,0,0
155000,215000,0.559542737,0.094533141,0.104221049,0.018916779,279.3,0.002,0,0.0027,0,0.0039,0,0.7764,0.0932,0.0272,0.0189,0,0.0758,0,0,0
